Name,EvolutionStage,WebCardID,ImageURL,CardType,HP,Attribute,Ability,AbilityDesc,Skill1Name,Skill1Cost,Skill1Damage,Skill1Effect,Skill2Name,Skill2Cost,Skill2Damage,Skill2Effect,Weakness,WeaknessType,Resistance,ResistanceType,RetreatCost,CollectorNumber,Rarity,Mark,Expansion,ExpansionCode,Illustrator,PokemonInfo,Evolution,Subtypes,Tier,Score,ScoreBreakdown,PrimaryEffectType,SpecialEffectType
大鋼蛇,1階進化,14248,https://asia.pokemon-card.com/hk/card-img/hk00014248.png,寶可夢,200,Metal,,,歡迎之尾,"Colorless,Colorless",40+,若自己剩餘獎賞卡的張數為6張，則增加200點傷害。,火箭頭錘,"Metal,Metal,Colorless,Colorless",140,,,Fire,,Grass,4,45,normal,I,擴充包「超級勇氣」,M1L,Anesaki Dynamic,人們認為牠的身體是因為<br/> 堆積了和泥土一起吞下的<br/> 鐵質，才會發生變化的。,大岩蛇 → 大鋼蛇,,C+,10.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:2.0|Eff:0.0|Dmg:4.0|Mod:1.00,"條件傷害, 獎賞控制",無
大鋼蛇,1階進化,10065,https://asia.pokemon-card.com/hk/card-img/hk00010065.png,寶可夢,180,Metal,,,地震,Metal,130,自己的所有備戰寶可夢也各受到30點傷害。<br/>[在備戰區不計算弱點・抵抗力。],重磅衝擊,"Metal,Metal,Colorless,Colorless,Colorless",180,,,Fire,,Grass,4,41,normal,G,擴充包「未來閃光」,SV4M,Po-Suzuki,人們認為牠的身體是因為堆積了和泥土一起吞下的鐵質，才會發生變化的。,大岩蛇 → 大鋼蛇,,B,13.00,Base:5.0|Meta:0.0|Exp:2.0|Func:1.0|Syn:0.0|Eff:0.0|Dmg:5.0|Mod:1.00,連鎖傷害,無
超級大嘴娃ex,基礎,14249,https://asia.pokemon-card.com/hk/card-img/hk00014249.png,寶可夢,270,Metal,,,貪心,"Metal,Metal",80×,造成自己已經獲得的獎賞卡的張數×80點傷害。,大啃咬,"Metal,Metal,Colorless",260,若對手的戰鬥寶可夢身上放置有傷害指示物，則這個招式的傷害改為「30」點。,,Fire,,Grass,2,46,normal,I,擴充包「超級勇氣」,M1L,aky CG Works,,超級大嘴娃ex,ex,B+,14.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:6.0|Mod:1.00,"傷害指示物, 傷害效果, 棄牌區傷害加成, 獎賞控制",無
帝牙盧卡,基礎,14250,https://asia.pokemon-card.com/hk/card-img/hk00014250.png,寶可夢,140,Metal,,,光束,Metal,30,,時間爆炸,"Metal,Metal,Colorless",80+,若希望，將這隻寶可夢身上附加的能量卡全部放回牌庫並重洗，增加80點傷害。,,Fire,,Grass,2,47,normal,I,擴充包「超級勇氣」,M1L,Teeziro,擁有操縱時間的力量。<br/>在神奧地區被稱為神，<br/>並在神話中登場。,帝牙盧卡,,B+,16.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:4.0|Syn:4.0|Eff:0.0|Dmg:4.0|Mod:1.00,"條件傷害, 牌庫重洗, 能量回收, 能量操作",無
帝牙盧卡,基礎,11968,https://asia.pokemon-card.com/hk/card-img/hk00011968.png,寶可夢,130,Dragon,,,時間掌控,Colorless,,從自己的牌庫任意選擇2張卡。重洗剩餘牌庫，將所選的卡以任意順序排列，放回牌庫上方。,光炮尾,"Psychic,Metal,Colorless",160,,,,,,2,42,normal,H,強化擴充包「樂園騰龍」,SV7a,Takumi Wada,因為帝牙盧卡的誕生，<br/>時間才得以開始流動。<br/>是有著如此傳說的寶可夢。,帝牙盧卡,,B+,14.00,Base:5.0|Meta:0.0|Exp:3.0|Func:1.0|Syn:0.0|Eff:0.0|Dmg:5.0|Mod:1.00,搜索效果,無
小鍛匠,基礎,14251,https://asia.pokemon-card.com/hk/card-img/hk00014251.png,寶可夢,70,Metal,,,敲擊,Metal,20,,,,,,,Fire,,Grass,1,48,normal,I,擴充包「超級勇氣」,M1L,You Iribi,雖然會揮舞著手工打造的<br/>錘子來保護自己，但卻常被<br/>以金屬為食的寶可夢搶走。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,D,4.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
小鍛匠,基礎,8629,https://asia.pokemon-card.com/hk/card-img/hk00008629.png,寶可夢,60,Psychic,,,呼喚,Colorless,,從自己的牌庫抽出1張卡。,推擊,"Psychic,Colorless",20,,,Metal,,,1,40,normal,G,強化擴充包「三連音爆」,SV1a,Mizue,雖然會揮舞著手工打造的錘子來保護自己，但卻常被<br/>以金屬為食的寶可夢搶走。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,C+,10.00,Base:5.0|Meta:0.0|Exp:2.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
小鍛匠,基礎,8630,https://asia.pokemon-card.com/hk/card-img/hk00008630.png,寶可夢,70,Psychic,,,狂舞揮打,Psychic,10+,擲1次硬幣若為正面，則增加20點傷害。,,,,,,Metal,,,1,41,normal,G,強化擴充包「三連音爆」,SV1a,Pani Kobayashi,雖然會揮舞著手工打造的錘子來保護自己，但卻常被<br/>以金屬為食的寶可夢搶走。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:2.0|Eff:0.0|Dmg:2.0|Mod:1.00,"條件傷害, 硬幣判定",無
小鍛匠,基礎,8765,https://asia.pokemon-card.com/hk/card-img/hk00008765.png,寶可夢,60,Psychic,,,撿鐵屑,Colorless,,從自己的棄牌區選擇1張物品卡，在給對手看過後加入手牌。,妖精之風,"Psychic,Colorless,Colorless",30,,,Metal,,,1,32,normal,G,擴充包「碟旋暴擊」,SV2D,Shibuzoh.,雖然會揮舞著手工打造的錘子來保護自己，但卻常被<br/>以金屬為食的寶可夢搶走。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,搜索效果,無
小鍛匠,基礎,8766,https://asia.pokemon-card.com/hk/card-img/hk00008766.png,寶可夢,70,Psychic,,,碎,Psychic,10,擲1次硬幣若為正面，則選擇1個對手的戰鬥寶可夢身上附加的能量，將其丟棄。,,,,,,Metal,,,2,33,normal,G,擴充包「碟旋暴擊」,SV2D,Kouki Saitou,雖然會揮舞著手工打造的錘子來保護自己，但卻常被<br/>以金屬為食的寶可夢搶走。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,B+,14.00,Base:5.0|Meta:0.0|Exp:2.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"硬幣判定, 能量操作",丟棄效果
小鍛匠,基礎,10058,https://asia.pokemon-card.com/hk/card-img/hk00010058.png,寶可夢,60,Psychic,,,找山,Psychic,,查看自己的牌庫上方1張卡。將那些卡加入手牌。或者將那張卡丟棄，從自己的牌庫抽出1張卡。,囈語,Psychic,10,,,Metal,,,1,34,normal,G,擴充包「未來閃光」,SV4M,Teeziro,敲打鐵屑來製作錘子。直到做出自己滿意的作品前，會一次又一次地重做。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,B,12.00,Base:5.0|Meta:0.0|Exp:2.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
小鍛匠,基礎,10059,https://asia.pokemon-card.com/hk/card-img/hk00010059.png,寶可夢,70,Psychic,,,潛力,Psychic,40,在下個自己的回合，這隻寶可夢無法使用招式。,,,,,,Metal,,,2,35,normal,G,擴充包「未來閃光」,SV4M,Oswaldo KATO,敲打鐵屑來製作錘子。直到做出自己滿意的作品前，會一次又一次地重做。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,C,8.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"使用限制, 招式鎖定",無
巧鍛匠,1階進化,14252,https://asia.pokemon-card.com/hk/card-img/hk00014252.png,寶可夢,90,Metal,臨場之錘,在自己的回合，從手牌使出這張卡並完成進化時，可使用1次。擲1次硬幣若為正面，則選擇1個對手的戰鬥寶可夢身上附加的能量，將其丟棄。,打擊,Metal,30,,,,,,,Fire,,Grass,2,49,normal,I,擴充包「超級勇氣」,M1L,KEIICHIRO ITO,為了製作又大又堅固的<br/>錘子，會去襲擊劈斬司令<br/>的群體，藉以收集金屬。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,B+,15.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:10.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"硬幣判定, 能量操作","丟棄效果, 進化效果"
巧鍛匠,1階進化,8767,https://asia.pokemon-card.com/hk/card-img/hk00008767.png,寶可夢,90,Psychic,,,嬉鬧,"Colorless,Colorless",30+,擲1次硬幣若為正面，則增加30點傷害。,粉碎壓制,"Psychic,Colorless,Colorless",60,這個招式的傷害不計算對手的戰鬥寶可夢身上的附加效果。,,Metal,,,2,34,normal,G,擴充包「碟旋暴擊」,SV2D,sowsow,為了製作又大又堅固的錘子，會去襲擊劈斬司令<br/>的群體，藉以收集金屬。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,B+,14.00,Base:5.0|Meta:0.0|Exp:2.0|Func:3.0|Syn:2.0|Eff:0.0|Dmg:2.0|Mod:1.00,"條件傷害, 無視弱點/效果, 硬幣判定",無
巧鍛匠,1階進化,10060,https://asia.pokemon-card.com/hk/card-img/hk00010060.png,寶可夢,80,Psychic,,,合金橫掃,Psychic,20+,若這隻寶可夢身上附有【鋼】能量卡，則增加40點傷害。,,,,,,Metal,,,2,36,normal,G,擴充包「未來閃光」,SV4M,Souichirou Gunjima,棲息在堆滿破銅爛鐵的地方。為了測試錘子的強度，會和夥伴們激烈地敲打彼此。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,B,13.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:2.0|Mod:1.00,條件傷害,無
巨鍛匠,2階進化,14253,https://asia.pokemon-card.com/hk/card-img/hk00014253.png,寶可夢,160,Metal,,,大橫掃,Metal,240-,減少對手的戰鬥寶可夢身上附加的能量的數量×60點傷害。,,,,,,Fire,,Grass,2,50,normal,I,擴充包「超級勇氣」,M1L,toriyufu,智商高超，性格豪邁。<br/>會用錘子打飛岩石來攻擊<br/>飛在空中的鋼鎧鴉。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,C+,9.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"備戰傷害加成, 能量操作",無
巨鍛匠,2階進化,10106,https://asia.pokemon-card.com/hk/card-img/hk00010106.png,寶可夢,140,Psychic,,,拍落,Psychic,40,在不看正面的情況下，選擇1張對手的手牌，將其丟棄。,狂野壓制,"Psychic,Colorless,Colorless",220,這隻寶可夢也受到60點傷害。,,Metal,,,2,62,promo,G,特典卡 朱&紫,SV,DOM,智商高超，性格豪邁。 會用錘子打飛岩石來攻擊<br/> 飛在空中的鋼鎧鴉。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,B+,15.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:6.0|Mod:1.00,"反噬傷害, 情報收集",丟棄效果
巨鍛匠,2階進化,8632,https://asia.pokemon-card.com/hk/card-img/hk00008632.png,寶可夢,140,Psychic,收集素材,在自己的回合，若將自己的1張手牌丟棄，則可使用1次。從自己的牌庫抽出3張卡。,特殊鐵錘,"Psychic,Colorless",90+,若這隻寶可夢身上附有特殊能量卡，則增加90點傷害。,,,,,,Metal,,,2,43,normal,G,強化擴充包「三連音爆」,SV1a,Kouki Saitou,智商高超，性格豪邁。會用錘子打飛岩石來攻擊<br/>飛在空中的鋼鎧鴉。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,A,18.00,Base:5.0|Meta:0.0|Exp:2.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:4.0|Mod:1.00,"抽卡效果, 搜索效果, 條件傷害",無
巨鍛匠,2階進化,10061,https://asia.pokemon-card.com/hk/card-img/hk00010061.png,寶可夢,130,Psychic,,,破壞一擊,Psychic,30,選擇1個對手的戰鬥寶可夢身上附加的能量，將其丟棄。,合金之錘,Psychic,60+,若這隻寶可夢身上附有【鋼】能量卡，則增加120點傷害。,,Metal,,,2,37,normal,G,擴充包「未來閃光」,SV4M,KEIICHIRO ITO,會輕鬆地揮舞著超過１００公斤的錘子來奪取想要的東西，然後帶回自己的住處。,小鍛匠 → 巧鍛匠 → 巨鍛匠 → 巨鍛匠ex,,A,17.00,Base:5.0|Meta:0.0|Exp:2.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:3.0|Mod:1.00,"條件傷害, 能量操作",丟棄效果
賽富豪,1階進化,14254,https://asia.pokemon-card.com/hk/card-img/hk00014254.png,寶可夢,130,Metal,,,抓到飽,Colorless,,擲硬幣直到出現反面，從自己的牌庫任意選擇最多與正面出現的次數相同數量的卡，加入手牌。並且重洗牌庫。,高速攻擊,"Metal,Colorless,Colorless",100,,,Fire,,Grass,2,51,normal,I,擴充包「超級勇氣」,M1L,Yukihiro Tada,據說身體是由１０００枚硬幣<br/>所組成的。喜歡與人親近，<br/>不管與誰都能馬上變得融洽。,索財靈 → 賽富豪 → 賽富豪ex,,C+,9.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:3.0|Mod:1.00,"抽卡效果, 搜索效果, 硬幣判定",無
賽富豪,1階進化,10247,https://asia.pokemon-card.com/hk/card-img/hk00010247.png,寶可夢,130,Metal,,,盛宴招待,Colorless,,從自己的手牌選擇任意數量的「基本【鋼】能量」卡，以任意方式附於自己的寶可夢身上。,豪華衝浪,"Metal,Colorless,Colorless",80×,擲與這隻寶可夢身上附加的【鋼】能量的數量相同次數的硬幣，造成正面出現的次數×80點傷害。,,Fire,,Grass,2,133,normal,G,高級擴充包「閃色寶藏ex」,SV4a,Mitsuhiro Arita,據說身體是由１０００枚硬幣所組成的。喜歡與人親近，<br/>不管與誰都能馬上變得融洽。,索財靈 → 賽富豪ex → 賽富豪,,A,18.00,Base:5.0|Meta:0.0|Exp:2.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:8.0|Mod:1.00,"傷害效果, 硬幣判定, 能量操作, 能量附著",無
賽富豪,1階進化,11964,https://asia.pokemon-card.com/hk/card-img/hk00011964.png,寶可夢,130,Metal,,,富裕強襲,Metal,30+,在這個回合，若這隻寶可夢從「索財靈」進化，則增加90點傷害。,賽富迴旋,"Colorless,Colorless,Colorless",100,若希望，將這隻寶可夢與附加的卡，全部放回自己的牌庫並重洗。,,Fire,,Grass,2,38,normal,H,強化擴充包「樂園騰龍」,SV7a,Dsuke,堆疊硬幣而形成的身體<br/>結實堅固。會連續發射<br/>硬幣來壓制敵人。,索財靈 → 賽富豪ex → 賽富豪,,A+,20.00,Base:5.0|Meta:0.0|Exp:3.0|Func:5.0|Syn:4.0|Eff:0.0|Dmg:3.0|Mod:1.00,"其他效果, 條件傷害, 進化支援",無
烈雀,基礎,14255,https://asia.pokemon-card.com/hk/card-img/hk00014255.png,寶可夢,60,Colorless,,,啄食,Colorless,10,在造成傷害前，將對手的戰鬥寶可夢身上附加的「寶可夢道具」卡丟棄。,,,,,,Lightning,,Fighting,1,52,normal,I,擴充包「超級勇氣」,M1L,Scav,翅膀很短，無法長距離飛行。<br/><br/>總是不停地四處跳來跳去，<br/><br/>忙著啄食蟲寶可夢。,烈雀 → 大嘴雀,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,傷害效果,丟棄效果
烈雀,基礎,8887,https://asia.pokemon-card.com/hk/card-img/hk00008887.png,寶可夢,50,Colorless,搶先進化,若在後攻玩家的最初回合，則這隻寶可夢就算剛使出也可進化。,高速飛行,Colorless,10,,,,,,,Lightning,,Fighting,1,21,normal,G,強化擴充包「寶可夢卡牌151」,SV2a,Gemi,翅膀很短，無法長距離飛行。 總是不停地四處跳來跳去， <br/>忙著啄食蟲寶可夢。,烈雀 → 大嘴雀,,C+,10.00,Base:5.0|Meta:0.0|Exp:2.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,進化支援,無
大嘴雀,1階進化,14256,https://asia.pokemon-card.com/hk/card-img/hk00014256.png,寶可夢,100,Colorless,,,機關槍鑽,Colorless,30×,擲5次硬幣，造成正面出現的次數×30點傷害。,,,,,,Lightning,,Fighting,1,53,normal,I,擴充包「超級勇氣」,M1L,Saboteri,在大嘴雀的地盤上<br/><br/>帶著食物走動是件危險的事，<br/><br/>食物轉眼間就會被奪走。,烈雀 → 大嘴雀,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:3.0|Mod:1.00,"傷害效果, 硬幣判定",無
大嘴雀,1階進化,8888,https://asia.pokemon-card.com/hk/card-img/hk00008888.png,寶可夢,90,Colorless,,,鳥嘴捕捉,Colorless,,從自己的牌庫任意選擇最多3張卡加入手牌。並且重洗牌庫。,高速飛行,Colorless,50,,,Lightning,,Fighting,0,22,normal,G,強化擴充包「寶可夢卡牌151」,SV2a,Gemi,在大嘴雀的地盤上帶著食物走動是件危險的事，<br/>食物轉眼間就會被奪走。,烈雀 → 大嘴雀,,C+,10.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"抽卡效果, 搜索效果",無
大奶罐,基礎,14257,https://asia.pokemon-card.com/hk/card-img/hk00014257.png,寶可夢,120,Colorless,,,飽腹鮮奶,"Colorless,Colorless",,擲2次硬幣，若全部為正面，則將自己的1隻寶可夢的HP全部恢復。,撞擊,"Colorless,Colorless,Colorless",60,,,Fighting,,,2,54,normal,I,擴充包「超級勇氣」,M1L,Kouki Saitou,如果沒有每天擠鮮奶，<br/>身體的狀況就會變糟。<br/>鮮奶的風味會隨季節改變。,大奶罐,,B,12.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:4.0|Eff:0.0|Dmg:2.0|Mod:1.00,"回復效果, 硬幣判定",無
大奶罐,基礎,10077,https://asia.pokemon-card.com/hk/card-img/hk00010077.png,寶可夢,120,Colorless,,,活潑衝撞,"Colorless,Colorless",60+,在這個回合，若這隻寶可夢恢復了HP，則增加90點傷害。,,,,,,Fighting,,,2,53,normal,G,擴充包「未來閃光」,SV4M,sowsow,如果沒有每天擠鮮奶，身體的狀況就會變糟。鮮奶的風味會隨季節改變。,大奶罐,,B+,14.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:3.0|Mod:1.00,"回復效果, 條件傷害",無
大奶罐,基礎,12704,https://asia.pokemon-card.com/hk/card-img/hk00012704.png,寶可夢,130,Colorless,,,滾動,Colorless,20,,哞哞回轉,"Colorless,Colorless",100,這個招式必須在上個自己的回合這隻寶可夢使用了「滾動」才可使用。,,Fighting,,,2,96,normal,H,雙ex初階牌組 Generations,SVM,Keisin,由於能生產營養滿分的<br/>鮮奶，自古以來支持著<br/>人類與寶可夢的生活。,大奶罐,,C+,10.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:3.0|Mod:1.00,連續技,無
貓鼬少,基礎,14258,https://asia.pokemon-card.com/hk/card-img/hk00014258.png,寶可夢,70,Colorless,,,呼喚,Colorless,,從自己的牌庫抽出1張卡。,咬,"Colorless,Colorless",20,,,Fighting,,,1,55,normal,I,擴充包「超級勇氣」,M1L,Mékayu,整個身體幾乎都是胃。<br/>每天都徘徊在固定的路線上，<br/>四處尋找新鮮的食物。,貓鼬少 → 貓鼬探長 → 貓鼬探長GX,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
貓鼬少,基礎,8651,https://asia.pokemon-card.com/hk/card-img/hk00008651.png,寶可夢,70,Colorless,,,擊飛,Colorless,10+,擲1次硬幣若為正面，則增加10點傷害。,,,,,,Fighting,,,1,62,normal,G,強化擴充包「三連音爆」,SV1a,saino misaki,整個身體幾乎都是胃。每天都徘徊在固定的路線上，<br/>四處尋找新鮮的食物。,貓鼬少 → 貓鼬探長 → 貓鼬探長GX,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:2.0|Eff:0.0|Dmg:2.0|Mod:1.00,"條件傷害, 硬幣判定",無
貓鼬探長,1階進化,14259,https://asia.pokemon-card.com/hk/card-img/hk00014259.png,寶可夢,100,Colorless,蒐證,在自己的回合時可使用1次。選擇1張自己的手牌，與牌庫上方的卡互換。,咬住,"Colorless,Colorless",50,,,,,,,Fighting,,,1,56,normal,I,擴充包「超級勇氣」,M1L,Shigenori Negishi,一旦發現獵物的蹤跡，<br/>就會發揮十足的耐心<br/>蹲守在該處直到日落。,貓鼬少 → 貓鼬探長 → 貓鼬探長GX,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"切換效果, 搜索效果",無
火箭隊的坂木,,13445,https://asia.pokemon-card.com/hk/card-img/hk00013445.png,支援者卡,,,,,,,,將自己的戰鬥場的「火箭隊的寶可夢」與備戰區的「火箭隊的寶可夢」互換。然後，選擇1隻對手的備戰寶可夢，與戰鬥寶可夢互換。,,,,,,,,,,93,normal,I,擴充包「火箭隊的榮耀」,SV10,akagi,,,,B+,16.00,Base:8.0|Meta:0.0|Exp:3.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,切換效果,無
火箭隊的妨礙機器人,,13439,https://asia.pokemon-card.com/hk/card-img/hk00013439.png,物品卡,,,,,,,,選擇1張對手的反面朝上的獎賞卡，並在不看正面的情況下，從對手的手牌選擇1張，查看各自的正面。若希望，令對手互換所選的卡。（在對戰結束前，那張獎賞卡維持正面朝上。）,,,,,,,,,,87,normal,I,擴充包「火箭隊的榮耀」,SV10,Toyste Beach,,,,A,17.00,Base:7.0|Meta:0.0|Exp:3.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"切換效果, 情報收集, 獎賞控制",無
火箭隊的拉姆達,,13446,https://asia.pokemon-card.com/hk/card-img/hk00013446.png,支援者卡,,,,,,,,從自己的牌庫選擇1張訓練家卡，在給對手看過後加入手牌。並且重洗牌庫。,,,,,,,,,,94,normal,I,擴充包「火箭隊的榮耀」,SV10,GOSSAN,,,,B+,15.00,Base:8.0|Meta:0.0|Exp:3.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
火箭隊的阿波羅,,13444,https://asia.pokemon-card.com/hk/card-img/hk00013444.png,支援者卡,,,,,,,,這張卡必須在上個對手的回合自己的「火箭隊的寶可夢」【昏厥】了才可使用。<br/> <br/> 雙方玩家各將手牌全部放回牌庫並重洗。然後，從牌庫抽卡，自己抽出5張，對手抽出3張。,,,,,,,,,,92,normal,I,擴充包「火箭隊的榮耀」,SV10,Hideki Ishikawa,,,,A+,21.00,Base:8.0|Meta:0.0|Exp:3.0|Func:8.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"牌庫重洗, 連續技",大量抽卡
火箭隊的接收器,,13442,https://asia.pokemon-card.com/hk/card-img/hk00013442.png,物品卡,,,,,,,,從自己的牌庫選擇1張名稱中有「火箭隊」的支援者卡，在給對手看過後加入手牌。並且重洗牌庫。,,,,,,,,,,90,normal,I,擴充包「火箭隊的榮耀」,SV10,inose yukie,,,,B+,14.00,Base:7.0|Meta:0.0|Exp:3.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
火箭隊的超級球,,13440,https://asia.pokemon-card.com/hk/card-img/hk00013440.png,物品卡,,,,,,,,擲1次硬幣。若為正面，則從自己的牌庫選擇1張進化寶可夢的「火箭隊的寶可夢」，若為反面，則選擇1張【基礎】寶可夢的「火箭隊的寶可夢」，在給對手看過後加入手牌。並且重洗牌庫。,,,,,,,,,,88,normal,I,擴充包「火箭隊的榮耀」,SV10,Toyste Beach,,,,S+,27.00,Base:7.0|Meta:5.0|Exp:3.0|Func:7.0|Syn:5.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果, 硬幣判定, 進化支援",無
火箭隊的雅典娜,,13443,https://asia.pokemon-card.com/hk/card-img/hk00013443.png,支援者卡,,,,,,,,從牌庫抽卡直到自己的手牌滿5張為止。若自己的所有場上寶可夢皆為「火箭隊的寶可夢」，則抽卡直到滿8張為止。,,,,,,,,,,91,normal,I,擴充包「火箭隊的榮耀」,SV10,hncl,,,,A,18.00,Base:8.0|Meta:0.0|Exp:3.0|Func:3.0|Syn:4.0|Eff:0.0|Dmg:0.0|Mod:1.00,抽卡效果,無
氣球,,14456,https://asia.pokemon-card.com/hk/card-img/hk00014456.png,寶可夢道具,,,,,,,,附有這張卡的寶可夢，【撤退】所需的能量減少2個。,,,,,,,,,,84,high,I,擴充包「超級勇氣」,M1L,Studio Bora Inc.,,,,C+,10.00,Base:6.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,撤退干擾,撤退效果
蔓藤怪,基礎,14267,https://asia.pokemon-card.com/hk/card-img/hk00014267.png,寶可夢,80,Grass,,,毒粉,Grass,,將對手的戰鬥寶可夢【中毒】。,鉤住,"Grass,Colorless,Colorless",30,,,Fire,,,2,1,normal,I,擴充包「超級交響樂」,M1S,Yuriko Akase,藤蔓即使斷了也會繼續<br/>無限地生長。藤蔓下的<br/>真面目至今仍是個謎。,蔓藤怪 → 巨蔓藤,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,狀態異常,無
蔓藤怪,基礎,8980,https://asia.pokemon-card.com/hk/card-img/hk00008980.png,寶可夢,80,Grass,,,緊束作法,Grass,10+,在這個回合，若從手牌使出了「莉佳的招待」，則增加60點傷害。,,,,,,Fire,,,2,114,normal,G,強化擴充包「寶可夢卡牌151」,SV2a,Aya Kusube,藤蔓即使斷了也會繼續無限地生長。藤蔓下的<br/>真面目至今仍是個謎。,蔓藤怪 → 巨蔓藤,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:2.0|Eff:0.0|Dmg:2.0|Mod:1.00,條件傷害,無
蔓藤怪,基礎,11118,https://asia.pokemon-card.com/hk/card-img/hk00011118.png,寶可夢,80,Grass,,,重摑,Colorless,10,,藤蔓攻擊,"Grass,Colorless",30,,,Fire,,,2,1,normal,H,強化擴充包「緋紅薄霧」,SV5a,Yoriyuki Ikegami,藤蔓即使斷了也會繼續無限地生長。藤蔓下的<br/>真面目至今仍是個謎。,蔓藤怪 → 巨蔓藤,,C,8.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,無,無
