Name,EvolutionStage,WebCardID,ImageURL,CardType,HP,Attribute,Ability,AbilityDesc,Skill1Name,Skill1Cost,Skill1Damage,Skill1Effect,Skill2Name,Skill2Cost,Skill2Damage,Skill2Effect,Weakness,WeaknessType,Resistance,ResistanceType,RetreatCost,CollectorNumber,Rarity,Mark,Expansion,ExpansionCode,Illustrator,PokemonInfo,Evolution,Subtypes,Tier,Score,ScoreBreakdown,PrimaryEffectType,SpecialEffectType
能量再利用,,00004645,https://asia.pokemon-card.com/hk/card-img/hk00004645.png,物品卡,,,,,,,,從自己的棄牌區抽出5張基本能量卡，在給對手看過後，放回牌庫並重洗。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,128,normal,I,擴充包「眾星雲集組合篇」SET A,AC1a,Toyste Beach,,,,B+,15.00,Base:7.0|Meta:1.0|Exp:-1.0|Func:8.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"搜索效果, 能量回收",大量抽卡
勇基拉,1階進化,00014303,https://asia.pokemon-card.com/hk/card-img/hk00014303.png,寶可夢,80,Psychic,精神抽出,在自己的回合，從手牌使出這張卡並完成進化時，可使用1次。從自己的牌庫抽出2張卡。,超念力,Psychic,30,,,,,,,Darkness,,Fighting,1,037,normal,I,擴充包「超級交響樂」,M1S,Saboteri,念力的威力大得驚人。<br/>會把精神力量儲存在額頭<br/>的星星裡，以備進化所需。,凱西 → 勇基拉 → 胡地 → 胡地ex,,B+,15.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:10.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"抽卡效果, 搜索效果",進化效果
胡地,2階進化,00014304,https://asia.pokemon-card.com/hk/card-img/hk00014304.png,寶可夢,140,Psychic,精神抽出,在自己的回合，從手牌使出這張卡並完成進化時，可使用1次。從自己的牌庫抽出3張卡。,手之力量,Psychic,,將與自己的手牌的張數×2個的相同數量的傷害指示物，放置於對手的戰鬥寶可夢身上。,,,,,,Darkness,,Fighting,1,038,normal,I,擴充包「超級交響樂」,M1S,Bun Toujo,能操控強大的超能力。<br/>雙手中的湯匙據說就是<br/>用牠的力量創造出來的。,凱西 → 勇基拉 → 胡地 → 胡地ex,,B+,14.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:10.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"傷害指示物, 抽卡效果, 搜索效果, 棄牌區傷害加成",進化效果
迷唇姐,基礎,00014305,https://asia.pokemon-card.com/hk/card-img/hk00014305.png,寶可夢,110,Psychic,,,精神強念,"Psychic,Psychic",30+,增加對手的戰鬥寶可夢身上附加的能量的數量×30點傷害。,,,,,,Darkness,,Fighting,1,039,normal,I,擴充包「超級交響樂」,M1S,Minahamu,奇異的叫聲聽起來就像是<br/>人類的語言。也有些音樂家<br/>會創作讓迷唇姐唱的曲子。,迷唇姐,,B,11.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:2.0|Mod:1.00,"備戰傷害加成, 能量操作",無
拉魯拉絲,基礎,00014306,https://asia.pokemon-card.com/hk/card-img/hk00014306.png,寶可夢,70,Psychic,,,呼喚,Colorless,,從自己的牌庫抽出1張卡。,頭錘,Psychic,10,,,Darkness,,Fighting,1,040,normal,I,擴充包「超級交響樂」,M1S,Terada Tera,擁有使用頭上的紅角<br/>就可以敏銳察覺<br/>人類感情的能力。,拉魯拉絲 → 奇魯莉安 → 沙奈朵ex → 沙奈朵 → 艾路雷朵 → 沙奈朵GX → 超級沙奈朵ex,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
奇魯莉安,1階進化,00014307,https://asia.pokemon-card.com/hk/card-img/hk00014307.png,寶可夢,100,Psychic,,,呼喚信號,Psychic,,從自己的牌庫選擇最多3張寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。,精神射擊,Psychic,30,,,Darkness,,Fighting,1,041,normal,I,擴充包「超級交響樂」,M1S,satoma,能夠操縱精神力量<br/>來扭曲周圍的空間，<br/>讓自己看見未來。,拉魯拉絲 → 奇魯莉安 → 沙奈朵ex → 沙奈朵 → 艾路雷朵 → 沙奈朵GX → 超級沙奈朵ex,,C+,9.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"抽卡效果, 搜索效果",無
超級沙奈朵ex,2階進化,00014308,https://asia.pokemon-card.com/hk/card-img/hk00014308.png,寶可夢,360,Psychic,,,盈溢祈願,Psychic,,從牌庫附給自己的所有備戰寶可夢各1張「基本【超】能量」卡。並且重洗牌庫。,超級交響樂,Psychic,50×,造成自己的所有寶可夢身上附加的【超】能量的數量×50點傷害。,,Darkness,,Fighting,2,042,normal,I,擴充包「超級交響樂」,M1S,takuyoa,,拉魯拉絲 → 奇魯莉安 → 沙奈朵ex → 沙奈朵 → 艾路雷朵 → 沙奈朵GX → 超級沙奈朵ex,ex,A,17.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:8.0|Mod:1.00,"備戰傷害加成, 傷害效果, 搜索效果, 能量操作",無
脫殼忍者,1階進化,00014309,https://asia.pokemon-card.com/hk/card-img/hk00014309.png,寶可夢,60,Psychic,脆弱蛻殼,這隻寶可夢就算受到對手的「寶可夢【ex】」招式的傷害而【昏厥】，對手也無法獲得獎賞卡。,傷害律動,Psychic,20×,造成對手的戰鬥寶可夢身上放置的傷害指示物的數量×20點傷害。,,,,,,Darkness,,Fighting,0,043,normal,I,擴充包「超級交響樂」,M1S,IKEDA Saki,不拍動翅膀也能四處飛行。<br/> 身體裡面空空的，是一種<br/> 不呼吸的奇妙寶可夢。,土居忍士 → 脫殼忍者 → 鐵面忍者,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"備戰傷害加成, 傷害指示物, 傷害效果, 獎賞控制",無
跳跳豬,基礎,00014310,https://asia.pokemon-card.com/hk/card-img/hk00014310.png,寶可夢,70,Psychic,,,三重旋轉,Psychic,10×,擲3次硬幣，造成正面出現的次數×10點傷害。,,,,,,Darkness,,Fighting,1,044,normal,I,擴充包「超級交響樂」,M1S,toi8,如果不保持跳動就會死亡。<br/>戴在頭上的珍珠能讓<br/>自己的精神力量增強。,跳跳豬 → 噗噗豬,,D,5.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"傷害效果, 硬幣判定",無
噗噗豬,1階進化,00014311,https://asia.pokemon-card.com/hk/card-img/hk00014311.png,寶可夢,120,Psychic,能量舞步,在自己的回合，從手牌使出這張卡並完成進化時，可使用1次。查看自己的牌庫上方4張卡，從其中選擇任意數量的基本能量卡，以任意方式附於自己的寶可夢身上。將剩餘卡放回牌庫並重洗。,‌念動彈,"Psychic,Colorless,Colorless",60,,,,,,,Darkness,,Fighting,2,045,normal,I,擴充包「超級交響樂」,M1S,cochi8i,操縱對手時跳的奇異舞步，<br/>過去曾在外國掀起過<br/>一陣風潮。,跳跳豬 → 噗噗豬,,B+,16.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:10.0|Syn:0.0|Eff:0.0|Dmg:2.0|Mod:1.00,"搜索效果, 能量回收",進化效果
哲爾尼亞斯,基礎,00014312,https://asia.pokemon-card.com/hk/card-img/hk00014312.png,寶可夢,120,Psychic,,,大地之門,Psychic,,從自己的牌庫選擇最多3張【超】屬性的【基礎】寶可夢卡，放置於備戰區。並且重洗牌庫。,光明角擊,"Psychic,Psychic,Colorless",120,在下個自己的回合，這隻寶可夢無法使用「光明角擊」。,,Metal,,,1,046,normal,I,擴充包「超級交響樂」,M1S,Kazumasa Yasukuni,據說當頭上的角閃耀七色光芒時，<br/>就會分享永恆的生命。,哲爾尼亞斯,,C+,10.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:4.0|Mod:1.00,"招式鎖定, 搜索效果",放置效果
墓仔狗,基礎,00014313,https://asia.pokemon-card.com/hk/card-img/hk00014313.png,寶可夢,80,Psychic,,,踩,Psychic,10,,猛撞,"Psychic,Colorless",40,這隻寶可夢也受到10點傷害。,,Darkness,,Fighting,3,047,normal,I,擴充包「超級交響樂」,M1S,Narumi Sato,據說牠是不曾接觸過人類<br/>就死去的流浪犬寶可夢<br/>轉生而來的。,墓仔狗 → 墓揚犬 → 墓揚犬ex,,D,5.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,反噬傷害,無
墓揚犬,1階進化,00014314,https://asia.pokemon-card.com/hk/card-img/hk00014314.png,寶可夢,140,Psychic,,,恐怖啃咬,Psychic,30,擲硬幣直到出現反面，在不看手牌正面的情況下，從對手的手牌選擇與正面出現的次數相同數量的卡，查看那些卡的正面後放回對手的牌庫並重洗。,頭突,"Psychic,Psychic,Colorless",130,,,Darkness,,Fighting,3,048,normal,I,擴充包「超級交響樂」,M1S,matazo,平時都在墳場裡睡覺。<br/>在為數眾多的犬寶可夢中，<br/>牠是對主人最為忠實的。,墓仔狗 → 墓揚犬 → 墓揚犬ex,,B,12.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:4.0|Mod:1.00,"搜索效果, 硬幣判定",無
超級拉帝亞斯ex,基礎,00014315,https://asia.pokemon-card.com/hk/card-img/hk00014315.png,寶可夢,280,Dragon,,,狡兔三窟,Colorless,40,若希望，將這隻寶可夢與備戰寶可夢互換。,幻想脈衝,"Fire,Psychic,Colorless",300,將這隻寶可夢身上附加的能量卡全部丟棄。,,,,,1,049,normal,I,擴充包「超級交響樂」,M1S,5ban Graphics,,超級拉帝亞斯ex,ex,A+,22.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:6.0|Syn:4.0|Eff:0.0|Dmg:8.0|Mod:1.00,"切換效果, 能量操作",無
拉帝歐斯,基礎,00014316,https://asia.pokemon-card.com/hk/card-img/hk00014316.png,寶可夢,130,Dragon,潔淨支援,在自己的回合，從備戰區將自己的「超級拉帝亞斯【ex】」放置於戰鬥場時，可使用1次。選擇自己的備戰寶可夢身上附加的任意數量的能量卡，改附於戰鬥寶可夢身上。,龍爪,"Water,Psychic,Colorless",130,,,,,,,,,,1,050,normal,I,擴充包「超級交響樂」,M1S,Uninori,擁有很高的智慧，<br/>能理解人類的語言。<br/>是厭惡爭鬥的溫柔寶可夢。,拉帝歐斯,,B+,14.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:6.0|Syn:0.0|Eff:0.0|Dmg:4.0|Mod:1.00,能量操作,放置效果
超級袋獸ex,基礎,00014317,https://asia.pokemon-card.com/hk/card-img/hk00014317.png,寶可夢,300,Colorless,使者衝刺,若這隻寶可夢在戰鬥場上，則在自己的回合時可使用1次。從自己的牌庫抽出2張卡。在使用了其他的「使者衝刺」的回合，這個特性無法使用。,機關槍合擊,"Colorless,Colorless,Colorless",200+,擲硬幣直到出現反面，增加正面出現的次數×50點傷害。,,,,,,Fighting,,,3,051,normal,I,擴充包「超級交響樂」,M1S,5ban Graphics,,超級袋獸ex,ex,B,13.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:6.0|Mod:1.00,"抽卡效果, 招式鎖定, 搜索效果, 硬幣判定",特性效果
信使鳥,基礎,00014318,https://asia.pokemon-card.com/hk/card-img/hk00014318.png,寶可夢,90,Colorless,,,急速之禮,Colorless,,這個招式在先攻玩家的最初回合也可使用。從自己的牌庫任意選擇1張卡加入手牌。並且重洗牌庫。,重摑,"Colorless,Colorless",30,,,Lightning,,Fighting,1,052,normal,I,擴充包「超級交響樂」,M1S,Naoyo Kimura,一整天都在搬運食物。<br/>據說曾經有遇難的人因為<br/>信使鳥的食物而得救。,信使鳥,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"抽卡效果, 搜索效果",無
捲捲耳,基礎,00014319,https://asia.pokemon-card.com/hk/card-img/hk00014319.png,寶可夢,70,Colorless,,,撒嬌,Colorless,,在下個對手的回合，受到這個招式的寶可夢使用招式的傷害「-20」點。,跳接,Colorless,10,,,Fighting,,,1,053,normal,I,擴充包「超級交響樂」,M1S,ryoma uratsuka,會利用把捲成團的耳朵伸直<br/>時的威力來使出攻擊招式。<br/>越訓練，招式威力就會越大。,捲捲耳 → 長耳兔,,D,6.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,其他效果,無
長耳兔,1階進化,00014320,https://asia.pokemon-card.com/hk/card-img/hk00014320.png,寶可夢,110,Colorless,,,魯莽踢,Colorless,,對手的1隻備戰寶可夢受到50點傷害。[在備戰區不計算弱點・抵抗力。],迴轉踢,"Colorless,Colorless",60,,,Fighting,,,1,054,normal,I,擴充包「超級交響樂」,M1S,Oswaldo KATO,炎熱的季節結束後，<br/>就會換上富含空氣的<br/>體毛以備寒天來臨。,捲捲耳 → 長耳兔,,C+,9.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:2.0|Mod:1.00,連鎖傷害,無
童偶熊,基礎,00014321,https://asia.pokemon-card.com/hk/card-img/hk00014321.png,寶可夢,70,Colorless,,,打擊,Colorless,10,,活蹦亂跳,"Colorless,Colorless",20,,,Fighting,,,2,055,normal,I,擴充包「超級交響樂」,M1S,Shibuzoh.,為了保護自己的身體而<br/> 胡亂揮舞前腳的樣子雖然可愛，<br/> 威力卻大到能將大樹折斷。,童偶熊 → 穿著熊 → 穿著熊GX,,D,4.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
穿著熊,1階進化,00014322,https://asia.pokemon-card.com/hk/card-img/hk00014322.png,寶可夢,130,Colorless,,,拳骨,"Colorless,Colorless",50,,必殺金勾臂,"Colorless,Colorless,Colorless",100+,擲2次硬幣，若全部為正面，則增加100點傷害。,,Fighting,,,3,056,normal,I,擴充包「超級交響樂」,M1S,HYOGONOSUKE,會用令格鬥家都無地自容的技術<br/> 把逮住的獵物夾在腋下，<br/> 帶回自己的住處。,童偶熊 → 穿著熊 → 穿著熊GX,,B,13.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:4.0|Eff:0.0|Dmg:5.0|Mod:1.00,"條件傷害, 硬幣判定",無
奇異時鐘,,00014323,https://asia.pokemon-card.com/hk/card-img/hk00014323.png,物品卡,,,,,,,,選擇1隻自己的進化的【超】寶可夢，移除任意數量的「進化卡」使其退化。將移除的卡放回手牌。[退化的寶可夢在那個回合無法進化。],,,,,,,,,,057,normal,I,擴充包「超級交響樂」,M1S,Toyste Beach,,,,C+,9.00,Base:7.0|Meta:0.0|Exp:-1.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,進化支援,無
超級信號,,00014324,https://asia.pokemon-card.com/hk/card-img/hk00014324.png,物品卡,,,,,,,,從自己的牌庫選擇1張「超級進化【ex】」，在給對手看過後加入手牌。並且重洗牌庫。,,,,,,,,,,058,normal,I,擴充包「超級交響樂」,M1S,inose yukie,,,,B,13.00,Base:7.0|Meta:0.0|Exp:-1.0|Func:7.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果, 進化支援",無
阿塞蘿拉的惡作劇,,00014325,https://asia.pokemon-card.com/hk/card-img/hk00014325.png,支援者卡,,,,,,,,這張卡只有在對手剩餘獎賞卡的張數為2張以下時才可使用。<br/><br/>選擇1隻自己的場上寶可夢。在下個對手的回合，那隻寶可夢不會受到對手的「寶可夢【ex】」招式的傷害與效果的影響。,,,,,,,,,,059,normal,I,擴充包「超級交響樂」,M1S,Yuu Nishida,,,,B,13.00,Base:8.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:4.0|Eff:0.0|Dmg:0.0|Mod:1.00,"傷害防禦, 效果免疫, 獎賞控制",無
滿充的體貼,,00014326,https://asia.pokemon-card.com/hk/card-img/hk00014326.png,支援者卡,,,,,,,,將自己的1隻「超級進化【ex】」的HP全部恢復。然後，將恢復的寶可夢身上附加的能量卡全部放回手牌。,,,,,,,,,,060,normal,I,擴充包「超級交響樂」,M1S,Iori Suzuki,,,,A,17.00,Base:8.0|Meta:0.0|Exp:-1.0|Func:8.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"回復效果, 能量操作, 進化支援",無
活力森林,,00014327,https://asia.pokemon-card.com/hk/card-img/hk00014327.png,競技場卡,,,,,,,,雙方的所有【草】寶可夢就算在剛使出的回合（自己的最初回合除外）也可進化成【草】寶可夢。,,,,,,,,,,061,normal,I,擴充包「超級交響樂」,M1S,AYUMI ODASHIMA,,,,C,8.00,Base:6.0|Meta:0.0|Exp:-1.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,進化支援,無
衝浪海灘,,00014328,https://asia.pokemon-card.com/hk/card-img/hk00014328.png,競技場卡,,,,,,,,雙方玩家在每個自己的回合時，可使用1次，可將自己的戰鬥場的【水】寶可夢與備戰區的【水】寶可夢互換。,,,,,,,,,,062,normal,I,擴充包「超級交響樂」,M1S,AYUMI ODASHIMA,,,,C,8.00,Base:6.0|Meta:0.0|Exp:-1.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,切換效果,無
神秘花園,,00014329,https://asia.pokemon-card.com/hk/card-img/hk00014329.png,競技場卡,,,,,,,,雙方玩家在每個自己的回合時，可使用1次，若從手牌將1張能量卡丟棄，則可從牌庫抽卡直到自己手牌的張數與自己場上【超】寶可夢的數量相同為止。,,,,,,,,,,063,normal,I,擴充包「超級交響樂」,M1S,AYUMI ODASHIMA,,,,B+,14.00,Base:6.0|Meta:0.0|Exp:-1.0|Func:5.0|Syn:4.0|Eff:0.0|Dmg:0.0|Mod:1.00,抽卡效果,無
壺壺,基礎,00014407,https://asia.pokemon-card.com/hk/card-img/hk00014407.png,寶可夢,80,Grass,發酵果汁,若這隻寶可夢身上附有【草】能量卡，則在自己的回合時可使用1次。將自己的1隻寶可夢恢復「30」HP。,滾動,"Grass,Colorless",30,,,,,,,Fire,,,1,064,high,I,擴充包「超級交響樂」,M1S,OKUBO,,壺壺,,C+,9.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,回復效果,無
鐵面忍者,1階進化,00014408,https://asia.pokemon-card.com/hk/card-img/hk00014408.png,寶可夢,80,Grass,脫殼,在自己的回合，從手牌使出這張卡並完成進化時，可使用1次。從自己的牌庫選擇1張「脫殼忍者」，放置於備戰區。並且重洗牌庫。,急速折返,"Grass,Colorless",90,將這隻寶可夢與備戰寶可夢互換。,,,,,,Fire,,,0,065,high,I,擴充包「超級交響樂」,M1S,Tetsu Kayama,,土居忍士 → 脫殼忍者 → 鐵面忍者,,A,17.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:10.0|Syn:0.0|Eff:0.0|Dmg:3.0|Mod:1.00,"切換效果, 搜索效果","放置效果, 進化效果"
小獅獅,基礎,00014409,https://asia.pokemon-card.com/hk/card-img/hk00014409.png,寶可夢,70,Fire,,,火焰,"Fire,Colorless",30,,,,,,,Water,,,2,066,high,I,擴充包「超級交響樂」,M1S,Teeziro,,小獅獅 → 火炎獅,,D,5.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,無,無
雪笠怪,基礎,00014410,https://asia.pokemon-card.com/hk/card-img/hk00014410.png,寶可夢,90,Water,,,敲擊,Water,10,,雪花冰,"Water,Water",30,,,Metal,,,3,067,high,I,擴充包「超級交響樂」,M1S,Nurikabe,,雪笠怪 → 暴雪王 → 超級暴雪王ex,,D,5.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,無,無
鋼炮臂蝦,1階進化,00014411,https://asia.pokemon-card.com/hk/card-img/hk00014411.png,寶可夢,130,Water,返回重載,在自己的回合，這隻寶可夢從戰鬥場回到備戰區時，可使用1次。從自己的手牌選擇最多2張「基本【水】能量」卡，附於這隻寶可夢身上。,水之發射器,"Water,Water,Water",210,將這隻寶可夢身上附加的能量卡全部丟棄。,,,,,,Lightning,,,2,068,high,I,擴充包「超級交響樂」,M1S,Mori Yuu,,鐵臂槍蝦 → 鋼炮臂蝦,,B+,16.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:4.0|Syn:2.0|Eff:0.0|Dmg:6.0|Mod:1.00,"能量操作, 能量附著",無
千面避役,2階進化,00014412,https://asia.pokemon-card.com/hk/card-img/hk00014412.png,寶可夢,150,Water,,,擊斃,Water,,從雙方的場上寶可夢（這隻寶可夢除外）中選擇1隻剩餘HP最少的寶可夢，將其【昏厥】。,水射擊,Water,110,選擇1個這隻寶可夢身上附加的能量，將其丟棄。,,Lightning,,,1,069,high,I,擴充包「超級交響樂」,M1S,Ligton,,淚眼蜥 → 變澀蜥 → 千面避役,,B,13.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:4.0|Syn:2.0|Eff:0.0|Dmg:3.0|Mod:1.00,"其他效果, 能量操作",無
傘電蜥,基礎,00014413,https://asia.pokemon-card.com/hk/card-img/hk00014413.png,寶可夢,70,Lightning,,,雙重抓,Colorless,10×,擲2次硬幣，造成正面出現的次數×10點傷害。,,,,,,Fighting,,,1,070,high,I,擴充包「超級交響樂」,M1S,Akira Komayama,,傘電蜥 → 光電傘蜥,,D,5.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"傷害效果, 硬幣判定",無
胡地,2階進化,00014414,https://asia.pokemon-card.com/hk/card-img/hk00014414.png,寶可夢,140,Psychic,精神抽出,在自己的回合，從手牌使出這張卡並完成進化時，可使用1次。從自己的牌庫抽出3張卡。,手之力量,Psychic,,將與自己的手牌的張數×2個的相同數量的傷害指示物，放置於對手的戰鬥寶可夢身上。,,,,,,Darkness,,Fighting,1,071,high,I,擴充包「超級交響樂」,M1S,Aya Kusube,,凱西 → 勇基拉 → 胡地 → 胡地ex,,B+,14.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:10.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"傷害指示物, 抽卡效果, 搜索效果, 棄牌區傷害加成",進化效果
脫殼忍者,1階進化,00014415,https://asia.pokemon-card.com/hk/card-img/hk00014415.png,寶可夢,60,Psychic,脆弱蛻殼,這隻寶可夢就算受到對手的「寶可夢【ex】」招式的傷害而【昏厥】，對手也無法獲得獎賞卡。,傷害律動,Psychic,20×,造成對手的戰鬥寶可夢身上放置的傷害指示物的數量×20點傷害。,,,,,,Darkness,,Fighting,0,072,high,I,擴充包「超級交響樂」,M1S,Tetsu Kayama,,土居忍士 → 脫殼忍者 → 鐵面忍者,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"備戰傷害加成, 傷害指示物, 傷害效果, 獎賞控制",無
墓揚犬,1階進化,00014416,https://asia.pokemon-card.com/hk/card-img/hk00014416.png,寶可夢,140,Psychic,,,恐怖啃咬,Psychic,30,擲硬幣直到出現反面，在不看手牌正面的情況下，從對手的手牌選擇與正面出現的次數相同數量的卡，查看那些卡的正面後放回對手的牌庫並重洗。,頭突,"Psychic,Psychic,Colorless",130,,,Darkness,,Fighting,3,073,high,I,擴充包「超級交響樂」,M1S,Arai Kiriko,,墓仔狗 → 墓揚犬 → 墓揚犬ex,,B,12.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:4.0|Mod:1.00,"搜索效果, 硬幣判定",無
信使鳥,基礎,00014417,https://asia.pokemon-card.com/hk/card-img/hk00014417.png,寶可夢,90,Colorless,,,急速之禮,Colorless,,這個招式在先攻玩家的最初回合也可使用。從自己的牌庫任意選擇1張卡加入手牌。並且重洗牌庫。,重摑,"Colorless,Colorless",30,,,Lightning,,Fighting,1,074,high,I,擴充包「超級交響樂」,M1S,Takeshi Nakamura,,信使鳥,,C,7.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"抽卡效果, 搜索效果",無
童偶熊,基礎,00014418,https://asia.pokemon-card.com/hk/card-img/hk00014418.png,寶可夢,70,Colorless,,,打擊,Colorless,10,,活蹦亂跳,"Colorless,Colorless",20,,,Fighting,,,2,075,high,I,擴充包「超級交響樂」,M1S,OKACHEKE,,童偶熊 → 穿著熊 → 穿著熊GX,,D,4.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
超級暴雪王ex,1階進化,00014419,https://asia.pokemon-card.com/hk/card-img/hk00014419.png,寶可夢,350,Water,,,山崩之錘,"Water,Water",100×,將自己的牌庫上方6張卡丟棄，造成其中「基本【水】能量」卡的張數×100點傷害。,冰霜屏障,"Water,Water,Water",200,在下個對手的回合，這隻寶可夢受到招式的傷害「-30」點。,,Metal,,,4,076,high,I,擴充包「超級交響樂」,M1S,5ban Graphics,,雪笠怪 → 暴雪王 → 超級暴雪王ex,ex,B+,16.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:8.0|Mod:1.00,"傷害效果, 其他效果, 棄牌區傷害加成",無
超級雷電獸ex,1階進化,00014420,https://asia.pokemon-card.com/hk/card-img/hk00014420.png,寶可夢,330,Lightning,,,閃光射線,"Lightning,Lightning",120,在下個對手的回合，這隻寶可夢不會受到【基礎】寶可夢招式的傷害。,狂暴噴射,"Lightning,Lightning,Lightning",200+,若希望，將這隻寶可夢身上附加的能量卡全部丟棄，增加130點傷害。,,Fighting,,,0,077,high,I,擴充包「超級交響樂」,M1S,5ban Graphics,,落雷獸 → 雷電獸 → 超級雷電獸ex,ex,A,19.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:5.0|Syn:4.0|Eff:0.0|Dmg:6.0|Mod:1.00,"傷害防禦, 效果免疫, 條件傷害, 能量操作",無
超級沙奈朵ex,2階進化,00014421,https://asia.pokemon-card.com/hk/card-img/hk00014421.png,寶可夢,360,Psychic,,,盈溢祈願,Psychic,,從牌庫附給自己的所有備戰寶可夢各1張「基本【超】能量」卡。並且重洗牌庫。,超級交響樂,Psychic,50×,造成自己的所有寶可夢身上附加的【超】能量的數量×50點傷害。,,Darkness,,Fighting,2,078,high,I,擴充包「超級交響樂」,M1S,takuyoa,,拉魯拉絲 → 奇魯莉安 → 沙奈朵ex → 沙奈朵 → 艾路雷朵 → 沙奈朵GX → 超級沙奈朵ex,ex,A,17.00,Base:5.0|Meta:0.0|Exp:-1.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:8.0|Mod:1.00,"備戰傷害加成, 傷害效果, 搜索效果, 能量操作",無
